index,drug_name
149,DB00691
150,DB08909
151,DB01140
152,DB00569
153,DB09338
154,DB01403
155,DB01395
156,DB00336
157,DB01064
158,DB00897
159,DB09536
160,DB00169
161,DB00442
162,DB09039
163,DB00557
164,DB08941
165,DB01203
166,DB01239
167,DB06803
168,DB01015
169,DB08820
170,DB09323
171,DB00810
172,DB00929
173,DB13323
174,DB09015
175,DB00391
176,DB00162
177,DB08875
178,DB00651
179,DB06691
180,DB00850
181,DB00452
182,DB06786
183,DB00482
184,DB08991
185,DB00444
186,DB09137
187,DB00418
188,DB01489
189,DB00412
190,DB00300
191,DB01048
192,DB00798
193,DB09118
194,DB00273
195,DB06725
196,DB01370
197,DB08807
198,DB06147
199,DB01613
200,DB01009
201,DB09241
202,DB08938
203,DB00554
204,DB00752
205,DB00259
206,DB01393
207,DB01114
208,DB00627
209,DB00683
210,DB01158
211,DB09499
212,DB01577
213,DB01320
214,DB00496
215,DB00301
216,DB00384
217,DB04930
218,DB00656
219,DB00787
220,DB08864
221,DB09221
222,DB00610
223,DB04574
224,DB01058
225,DB01157
226,DB01175
227,DB00589
228,DB09477
229,DB08827
230,DB13025
231,DB01626
232,DB01007
233,DB04841
234,DB00661
235,DB00851
236,DB00307
237,DB09235
238,DB00723
239,DB00978
240,DB09295
241,DB06217
242,DB00429
243,DB00212
244,DB00920
245,DB00654
246,DB00158
247,DB00646
248,DB00935
249,DB06153
250,DB00314
251,DB11121
252,DB09065
253,DB09146
254,DB00324
255,DB11342
256,DB01429
257,DB00585
258,DB03756
259,DB00541
260,DB08970
261,DB00345
262,DB02703
263,DB00744
264,DB00621
265,DB00908
266,DB01182
267,DB00551
268,DB01170
269,DB00456
270,DB01166
271,DB00189
272,DB06243
273,DB04946
274,DB00668
275,DB01119
276,DB00746
277,DB00817
278,DB01611
279,DB06413
280,DB00583
281,DB00247
282,DB01248
283,DB01355
284,DB01041
285,DB01053
286,DB09154
287,DB12026
288,DB00395
289,DB00896
290,DB01326
291,DB11079
292,DB01065
293,DB00623
294,DB11268
295,DB00517
296,DB01399
297,DB04951
298,DB01071
299,DB06813
300,DB11943
301,DB01567
302,DB00398
303,DB00381
304,DB00973
305,DB00458
306,DB00976
307,DB00736
308,DB04855
309,DB08795
310,DB01263
311,DB09053
312,DB03793
313,DB01325
314,DB09084
315,DB09267
316,DB01299
317,DB00845
318,DB00700
319,DB01588
320,DB01249
321,DB01242
322,DB09292
323,DB01600
324,DB11921
325,DB00624
326,DB00790
327,DB01591
328,DB01028
329,DB06636
330,DB00575
331,DB08916
332,DB08994
333,DB01129
334,DB13139
335,DB11581
336,DB00838
337,DB04846
338,DB01291
339,DB12070
340,DB00947
341,DB09063
342,DB01427
343,DB11614
344,DB01329
345,DB00718
346,DB09076
347,DB00598
348,DB00936
349,DB00484
350,DB01137
351,DB00924
352,DB04575
353,DB00353
354,DB01207
355,DB12001
356,DB00499
357,DB00731
358,DB06213
359,DB12598
360,DB00239
361,DB01032
362,DB06274
363,DB00882
364,DB01210
365,DB06412
366,DB00914
367,DB09230
368,DB00460
369,DB00295
370,DB00437
371,DB06210
372,DB01081
373,DB06718
374,DB06816
375,DB00847
376,DB08908
377,DB09244
378,DB00330
379,DB09342
380,DB00493
381,DB01037
382,DB00816
383,DB01124
384,DB00688
385,DB01438
386,DB06742
387,DB01240
388,DB01113
389,DB09345
390,DB04711
391,DB08913
392,DB11586
393,DB09119
394,DB00988
395,DB00865
396,DB00126
397,DB00338
398,DB06684
399,DB00628
400,DB01186
401,DB00335
402,DB01222
403,DB00631
404,DB00490
405,DB00450
406,DB08947
407,DB06228
408,DB00281
409,DB01035
410,DB01369
411,DB01122
412,DB00379
413,DB00251
414,DB00303
415,DB00327
416,DB00292
417,DB00204
418,DB08874
419,DB09277
420,DB00209
421,DB01135
422,DB01046
423,DB01221
424,DB00130
425,DB03615
426,DB00528
427,DB01235
428,DB01018
429,DB00928
430,DB01416
431,DB00956
432,DB06212
433,DB01261
434,DB00962
435,DB09276
436,DB00267
437,DB00196
438,DB09017
439,DB08882
440,DB06723
441,DB06802
442,DB00608
443,DB05294
444,DB01295
445,DB01126
446,DB01708
447,DB00647
448,DB04918
449,DB00567
450,DB13595
451,DB00698
452,DB00182
453,DB00768
454,DB00278
455,DB00186
456,DB00254
457,DB08918
458,DB00719
459,DB01165
460,DB00219
461,DB00349
462,DB01195
463,DB08796
464,DB00461
465,DB00581
466,DB01365
467,DB00394
468,DB01063
469,DB00535
470,DB00238
471,DB06206
472,DB09120
473,DB00751
474,DB00163
475,DB09042
476,DB09038
477,DB00864
478,DB09543
479,DB00720
480,DB00776
481,DB02959
482,DB06717
483,DB00193
484,DB01213
485,DB00934
486,DB00859
487,DB09047
488,DB11362
489,DB00271
490,DB00877
491,DB06292
492,DB00282
493,DB01283
494,DB06263
495,DB00231
496,DB06782
497,DB01059
498,DB04948
499,DB01206
500,DB08806
501,DB01411
502,DB04572
503,DB00289
504,DB06772
505,DB06261
506,DB09096
507,DB00423
508,DB00253
509,DB01042
510,DB09068
511,DB00985
512,DB09352
513,DB00294
514,DB00653
515,DB09274
516,DB08910
517,DB00708
518,DB00280
519,DB05266
520,DB01047
521,DB09330
522,DB04844
523,DB09124
524,DB01155
525,DB01172
526,DB11348
527,DB00188
528,DB01121
529,DB00699
530,DB00662
531,DB01043
532,DB11730
533,DB08912
534,DB01201
535,DB00333
536,DB00814
537,DB09078
538,DB06150
539,DB01356
540,DB05990
541,DB01110
542,DB00502
543,DB08893
544,DB01597
545,DB08873
546,DB05239
547,DB00679
548,DB11575
549,DB00771
550,DB00396
551,DB00508
552,DB09093
553,DB00779
554,DB00788
555,DB09269
556,DB08801
557,DB09227
558,DB09282
559,DB00681
560,DB01093
561,DB09223
562,DB00152
563,DB01107
564,DB09414
565,DB01338
566,DB00883
567,DB01193
568,DB01296
569,DB00783
570,DB08974
571,DB05109
572,DB00313
573,DB01062
574,DB01039
575,DB01185
576,DB01209
577,DB01440
578,DB00422
579,DB00526
580,DB00232
581,DB00765
582,DB00977
583,DB09245
584,DB00309
585,DB03619
586,DB01233
587,DB01359
588,DB06410
589,DB00477
590,DB01190
591,DB01878
592,DB11315
593,DB06595
594,DB00527
595,DB00539
596,DB00993
597,DB00927
598,DB00861
599,DB01045
600,DB00260
601,DB00572
602,DB00986
603,DB00385
604,DB09135
605,DB01136
606,DB00818
607,DB01112
608,DB09026
609,DB09095
610,DB01545
611,DB01216
612,DB01282
613,DB00246
614,DB00657
615,DB00513
616,DB00530
617,DB00843
618,DB00833
619,DB00321
620,DB01205
621,DB00937
622,DB01177
623,DB11239
624,DB09128
625,DB01021
626,DB06441
627,DB00728
628,DB01022
629,DB01238
630,DB01327
631,DB00952
632,DB00175
633,DB01624
634,DB00590
635,DB09236
636,DB04920
637,DB00603
638,DB06769
639,DB11636
640,DB05265
641,DB00492
642,DB00671
643,DB00258
644,DB08984
645,DB09297
646,DB00257
647,DB00323
648,DB06594
649,DB00582
650,DB04845
651,DB00613
652,DB00237
653,DB08987
654,DB00734
655,DB01260
656,DB08883
657,DB00684
658,DB01580
659,DB00637
660,DB01115
661,DB13153
662,DB00903
663,DB00857
664,DB09343
665,DB00304
666,DB01080
667,DB00227
668,DB03585
669,DB00475
670,DB06825
671,DB00392
672,DB08799
673,DB00933
674,DB01466
675,DB00750
676,DB01598
677,DB06729
678,DB00703
679,DB00998
680,DB08819
681,DB01034
682,DB00900
683,DB00529
684,DB06767
685,DB04854
686,DB01094
687,DB00470
688,DB00405
689,DB09134
690,DB13872
691,DB04786
692,DB00274
693,DB01575
694,DB01191
695,DB00890
696,DB01130
697,DB00388
698,DB00948
699,DB00916
700,DB00918
701,DB06781
702,DB01615
703,DB00369
704,DB00622
705,DB00804
706,DB00606
707,DB04908
708,DB01199
709,DB00899
710,DB01139
711,DB02638
712,DB05246
713,DB00435
714,DB00525
715,DB06154
716,DB09104
717,DB06616
718,DB09396
719,DB09185
720,DB00500
721,DB01627
722,DB00633
723,DB01563
724,DB13145
725,DB09069
726,DB00357
727,DB00302
728,DB01179
729,DB11610
730,DB00228
731,DB00839
732,DB06716
733,DB00142
734,DB13874
735,DB01349
736,DB01328
737,DB00979
738,DB08816
739,DB11148
740,DB08958
741,DB06791
742,DB01599
743,DB01592
744,DB00415
745,DB00134
746,DB00410
747,DB00898
748,DB01589
749,DB00595
750,DB12332
751,DB11641
752,DB00494
753,DB06738
754,DB01603
755,DB00256
756,DB02701
757,DB06824
758,DB00955
759,DB00617
760,DB01280
761,DB01289
762,DB00871
763,DB01250
764,DB00773
765,DB02513
766,DB00340
767,DB00229
768,DB06144
769,DB00642
770,DB00559
771,DB06267
772,DB08865
773,DB01167
774,DB00881
775,DB01089
776,DB00669
777,DB00328
778,DB00287
779,DB01014
780,DB00856
781,DB09018
782,DB00629
783,DB00972
784,DB00319
785,DB00360
786,DB01433
787,DB00853
788,DB01171
789,DB01070
790,DB06766
791,DB00743
792,DB09224
793,DB00792
794,DB01581
795,DB00448
796,DB09082
797,DB00862
798,DB06697
799,DB01332
800,DB01104
801,DB09117
802,DB00987
803,DB00449
804,DB00491
805,DB01029
806,DB00487
807,DB06774
808,DB00770
809,DB04573
810,DB01612
811,DB00434
812,DB00892
813,DB12924
814,DB01202
815,DB09268
816,DB09034
817,DB01579
818,DB09211
819,DB01044
820,DB06696
821,DB00866
822,DB00694
823,DB00685
824,DB00275
825,DB00318
826,DB09147
827,DB00371
828,DB00351
829,DB09123
830,DB00885
831,DB01245
832,DB00332
833,DB01184
834,DB00521
835,DB06480
836,DB07615
837,DB01001
838,DB00841
839,DB06711
840,DB00205
841,DB06698
842,DB00949
843,DB09273
844,DB01057
845,DB00837
846,DB06706
847,DB00706
848,DB00185
849,DB00652
850,DB00689
851,DB01435
852,DB01227
853,DB01092
854,DB00556
855,DB00722
856,DB00954
857,DB01010
858,DB01128
859,DB09008
860,DB08800
861,DB00724
862,DB08887
863,DB00564
864,DB00544
865,DB00712
866,DB00660
867,DB08930
868,DB04835
869,DB00356
870,DB00742
871,DB04272
872,DB00602
873,DB11630
874,DB01103
875,DB00166
876,DB00479
877,DB13146
878,DB00347
879,DB11609
880,DB06155
881,DB00553
882,DB00822
883,DB00308
884,DB01437
885,DB01133
886,DB00982
887,DB00820
888,DB01364
889,DB09279
890,DB01116
891,DB00677
892,DB08957
893,DB00690
894,DB11633
895,DB04938
896,DB00636
897,DB01337
898,DB01431
899,DB08895
900,DB00283
901,DB00320
902,DB00887
903,DB01060
904,DB00931
905,DB00827
906,DB09143
907,DB01331
908,DB01298
909,DB09075
910,DB06704
911,DB00485
912,DB01418
913,DB00198
914,DB01412
915,DB06288
916,DB00905
917,DB11256
918,DB01173
919,DB00297
920,DB06152
921,DB00593
922,DB04894
923,DB00759
924,DB06201
925,DB06282
926,DB00909
927,DB01273
928,DB09257
929,DB00248
930,DB08828
931,DB01252
932,DB01274
933,DB00906
934,DB00650
935,DB01339
936,DB01578
937,DB00912
938,DB01224
939,DB00799
940,DB00609
941,DB00495
942,DB00387
943,DB00806
944,DB00291
945,DB00727
946,DB00432
947,DB00178
948,DB00469
949,DB01406
950,DB09321
951,DB00276
952,DB01392
953,DB06202
954,DB00337
955,DB00457
956,DB00664
957,DB01583
958,DB00341
959,DB00523
960,DB09570
961,DB00634
962,DB04552
963,DB01336
964,DB00520
965,DB11660
966,DB06710
967,DB00950
968,DB04839
969,DB06819
970,DB11817
971,DB00504
972,DB01095
973,DB00763
974,DB01255
975,DB00764
976,DB09048
977,DB01091
978,DB06695
979,DB08884
980,DB00215
981,DB06262
982,DB01410
983,DB06713
984,DB01068
985,DB01609
986,DB11106
987,DB01088
988,DB09275
989,DB00417
990,DB00992
991,DB00498
992,DB01436
993,DB00620
994,DB01377
995,DB00305
996,DB09091
997,DB11596
998,DB00922
999,DB09138
1000,DB01011
1001,DB00655
1002,DB01189
1003,DB01036
1004,DB00940
1005,DB00663
1006,DB00852
1007,DB01192
1008,DB01033
1009,DB01267
1010,DB05039
1011,DB00514
1012,DB06827
1013,DB01188
1014,DB00035
1015,DB01004
1016,DB09061
1017,DB05630
1018,DB05245
1019,DB00421
1020,DB00665
1021,DB09112
1022,DB04876
1023,DB00120
1024,DB00453
1025,DB00944
1026,DB01401
1027,DB04967
1028,DB00413
1029,DB01288
1030,DB00560
1031,DB00612
1032,DB08797
1033,DB00713
1034,DB00190
1035,DB01618
1036,DB00264
1037,DB00570
1038,DB00601
1039,DB09322
1040,DB09290
1041,DB00344
1042,DB00270
1043,DB01621
1044,DB01162
1045,DB09300
1046,DB00298
1047,DB00483
1048,DB00697
1049,DB09027
1050,DB00373
1051,DB00991
1052,DB00411
1053,DB08814
1054,DB01156
1055,DB08804
1056,DB06739
1057,DB00641
1058,DB00146
1059,DB00701
1060,DB01619
1061,DB01151
1062,DB05521
1063,DB06193
1064,DB01262
1065,DB00550
1066,DB00835
1067,DB00226
1068,DB06771
1069,DB00831
1070,DB00957
1071,DB01098
1072,DB09449
1073,DB08868
1074,DB13142
1075,DB01147
1076,DB00177
1077,DB00784
1078,DB00427
1079,DB01183
1080,DB08867
1081,DB06290
1082,DB00953
1083,DB01378
1084,DB00408
1085,DB01138
1086,DB01623
1087,DB11691
1088,DB00195
1089,DB01085
1090,DB00446
1091,DB04898
1092,DB00467
1093,DB05015
1094,DB00217
1095,DB01229
1096,DB00842
1097,DB06216
1098,DB09000
1099,DB00879
1100,DB01108
1101,DB11994
1102,DB06724
1103,DB08934
1104,DB09262
1105,DB09125
1106,DB06218
1107,DB00805
1108,DB00678
1109,DB00277
1110,DB00489
1111,DB01019
1112,DB01544
1113,DB00834
1114,DB09041
1115,DB00221
1116,DB01084
1117,DB00766
1118,DB00884
1119,DB03754
1120,DB09009
1121,DB00586
1122,DB00594
1123,DB00959
1124,DB00549
1125,DB00836
1126,DB01586
1127,DB00263
1128,DB00368
1129,DB11135
1130,DB00823
1131,DB09049
1132,DB11136
1133,DB00222
1134,DB00775
1135,DB01066
1136,DB06016
1137,DB01367
1138,DB00821
1139,DB00849
1140,DB00687
1141,DB06287
1142,DB11619
1143,DB09212
1144,DB01330
1145,DB09162
1146,DB00547
1147,DB00829
1148,DB09071
1149,DB01142
1150,DB00389
1151,DB01251
1152,DB00945
1153,DB00710
1154,DB01628
1155,DB00591
1156,DB00951
1157,DB06817
1158,DB09090
1159,DB00645
1160,DB00873
1161,DB00153
1162,DB08996
1163,DB01353
1164,DB01294
1165,DB09214
1166,DB08897
1167,DB01409
1168,DB09153
1169,DB01054
1170,DB08808
1171,DB01159
1172,DB00540
1173,DB00888
1174,DB01100
1175,DB09278
1176,DB00758
1177,DB09054
1178,DB06209
1179,DB01345
1180,DB00891
1181,DB01160
1182,DB00923
1183,DB06700
1184,DB00870
1185,DB01008
1186,DB01243
1187,DB06335
1188,DB06690
1189,DB00201
1190,DB00426
1191,DB08967
1192,DB00339
1193,DB11737
1194,DB00760
1195,DB01362
1196,DB00284
1197,DB01408
1198,DB00401
1199,DB00960
1200,DB08881
1201,DB06702
1202,DB01622
1203,DB00486
1204,DB00863
1205,DB01212
1206,DB04840
1207,DB01324
1208,DB00802
1209,DB08983
1210,DB01421
1211,DB01000
1212,DB09320
1213,DB01030
1214,DB00704
1215,DB00573
1216,DB13179
1217,DB11915
1218,DB01168
1219,DB00315
1220,DB00366
1221,DB01067
1222,DB00997
1223,DB00519
1224,DB00778
1225,DB00476
1226,DB00966
1227,DB00224
1228,DB00772
1229,DB06237
1230,DB06196
1231,DB00230
1232,DB06605
1233,DB00374
1234,DB00819
1235,DB06770
1236,DB05812
1237,DB00672
1238,DB00876
1239,DB06694
1240,DB06764
1241,DB00361
1242,DB00545
1243,DB00910
1244,DB00812
1245,DB01397
1246,DB06709
1247,DB05381
1248,DB01197
1249,DB09288
1250,DB13747
1251,DB01082
1252,DB00741
1253,DB00860
1254,DB01078
1255,DB01149
1256,DB00359
1257,DB00218
1258,DB00390
1259,DB01200
1260,DB09167
1261,DB00236
1262,DB00250
1263,DB00911
1264,DB04865
1265,DB01321
1266,DB00675
1267,DB09021
1268,DB09280
1269,DB00242
1270,DB05316
1271,DB00561
1272,DB09289
1273,DB08943
1274,DB00471
1275,DB01096
1276,DB09060
1277,DB00828
1278,DB00150
1279,DB00370
1280,DB00376
1281,DB00481
1282,DB09561
1283,DB06737
1284,DB00576
1285,DB01223
1286,DB02709
1287,DB00515
1288,DB06401
1289,DB11613
1290,DB00738
1291,DB09225
1292,DB01169
1293,DB01275
1294,DB09072
1295,DB08899
1296,DB01246
1297,DB01301
1298,DB00904
1299,DB01595
1300,DB08901
1301,DB00809
1302,DB01340
1303,DB09215
1304,DB00618
1305,DB00104
1306,DB00755
1307,DB04743
1308,DB09270
1309,DB08922
1310,DB00451
1311,DB00207
1312,DB09209
1313,DB06204
1314,DB01214
1315,DB01087
1316,DB00999
1317,DB01050
1318,DB09389
1319,DB09231
1320,DB08889
1321,DB01576
1322,DB01608
1323,DB00425
1324,DB08993
1325,DB00604
1326,DB01117
1327,DB08798
1328,DB08811
1329,DB06712
1330,DB01219
1331,DB00648
1332,DB00552
1333,DB08905
1334,DB01154
1335,DB00673
1336,DB06203
1337,DB09286
1338,DB00512
1339,DB00261
1340,DB01254
1341,DB00176
1342,DB00400
1343,DB01247
1344,DB00983
1345,DB06701
1346,DB00846
1347,DB00711
1348,DB01232
1349,DB00325
1350,DB01610
1351,DB01174
1352,DB00363
1353,DB00869
1354,DB01602
1355,DB00208
1356,DB01303
1357,DB00296
1358,DB00377
1359,DB04576
1360,DB08992
1361,DB01024
1362,DB09030
1363,DB04398
1364,DB00501
1365,DB01006
1366,DB01264
1367,DB00285
1368,DB01605
1369,DB00964
1370,DB06715
1371,DB01234
1372,DB00563
1373,DB01463
1374,DB09291
1375,DB00184
1376,DB01075
1377,DB09101
1378,DB00441
1379,DB01083
1380,DB00635
1381,DB08971
1382,DB13925
1383,DB00170
1384,DB06654
1385,DB04842
1386,DB00872
1387,DB00832
1388,DB01180
1389,DB00915
1390,DB00355
1391,DB04871
1392,DB08903
1393,DB02659
1394,DB01069
1395,DB06826
1396,DB09102
1397,DB00571
1398,DB00187
1399,DB00136
1400,DB01153
1401,DB01228
1402,DB01424
1403,DB09156
1404,DB04878
1405,DB12483
1406,DB09080
1407,DB00543
1408,DB01099
1409,DB01217
1410,DB00963
1411,DB01127
1412,DB01452
1413,DB00747
1414,DB01268
1415,DB11231
1416,DB00480
1417,DB00599
1418,DB01420
1419,DB00430
1420,DB01198
1421,DB01118
1422,DB06792
1423,DB11560
1424,DB01764
1425,DB04570
1426,DB13167
1427,DB09293
1428,DB01013
1429,DB00975
1430,DB00938
1431,DB02187
1432,DB01106
1433,DB00696
1434,DB00115
1435,DB00191
1436,DB01016
1437,DB01400
1438,DB05541
1439,DB00518
1440,DB09232
1441,DB00243
1442,DB09094
1443,DB00262
1444,DB00235
1445,DB00488
1446,DB12267
1447,DB00367
1448,DB00844
1449,DB09516
1450,DB08906
1451,DB00625
1452,DB06145
1453,DB01394
1454,DB06414
1455,DB00354
1456,DB01012
1457,DB01020
1458,DB01181
1459,DB01073
1460,DB06264
1461,DB01218
1462,DB00443
1463,DB00990
1464,DB01023
1465,DB12532
1466,DB00875
1467,DB00774
1468,DB00548
1469,DB01423
1470,DB09324
1471,DB08860
1472,DB00358
1473,DB06810
1474,DB00210
1475,DB00780
1476,DB01220
1477,DB04339
1478,DB00440
1479,DB00680
1480,DB00562
1481,DB00179
1482,DB01614
1483,DB00730
1484,DB00454
1485,DB06707
1486,DB00721
1487,DB02546
1488,DB08826
1489,DB01077
1490,DB00797
1491,DB00438
1492,DB01685
1493,DB01407
1494,DB00630
1495,DB00433
1496,DB00753
1497,DB09272
1498,DB01590
1499,DB01076
1500,DB00761
1501,DB00140
1502,DB00880
1503,DB01211
1504,DB00658
1505,DB00240
1506,DB00605
1507,DB00830
1508,DB08815
1509,DB00726
1510,DB09285
1511,DB00674
1512,DB00867
1513,DB01244
1514,DB11093
1515,DB01582
1516,DB11254
1517,DB00322
1518,DB00122
1519,DB11828
1520,DB00769
1521,DB09488
1522,DB00199
1523,DB01090
1524,DB00568
1525,DB00445
1526,DB13450
1527,DB00397
1528,DB00974
1529,DB06211
1530,DB00531
1531,DB01208
1532,DB13231
1533,DB06799
1534,DB00312
1535,DB01422
1536,DB00577
1537,DB05351
1538,DB00293
1539,DB11574
1540,DB00714
1541,DB00402
1542,DB00223
1543,DB00404
1544,DB00331
1545,DB01511
1546,DB08976
1547,DB08877
1548,DB09055
1549,DB01607
1550,DB09085
1551,DB01194
1552,DB08932
1553,DB06708
1554,DB09283
1555,DB01143
1556,DB00968
1557,DB00399
1558,DB00795
1559,DB00279
1560,DB00465
1561,DB01051
1562,DB00419
1563,DB00800
1564,DB13879
1565,DB01132
1566,DB01414
1567,DB03796
1568,DB01620
1569,DB00813
1570,DB00745
1571,DB06794
1572,DB00216
1573,DB00266
1574,DB11793
1575,DB00619
1576,DB06736
1577,DB00917
1578,DB08896
1579,DB09031
1580,DB00782
1581,DB01150
1582,DB06148
1583,DB01319
1584,DB00762
1585,DB01601
1586,DB00409
1587,DB09079
1588,DB05271
1589,DB08872
1590,DB06626
1591,DB00796
1592,DB00732
1593,DB00245
1594,DB01164
1595,DB12364
1596,DB00592
1597,DB00578
1598,DB12278
1599,DB00252
1600,DB00961
1601,DB01501
1602,DB00967
1603,DB00794
1604,DB04794
1605,DB00695
1606,DB00793
1607,DB09166
1608,DB01102
1609,DB05219
1610,DB00686
1611,DB06403
1612,DB01656
1613,DB09083
1614,DB00705
1615,DB06804
1616,DB00811
1617,DB01558
1618,DB00801
1619,DB01101
1620,DB09183
1621,DB01215
1622,DB00855
1623,DB06777
1624,DB00537
1625,DB08907
1626,DB00234
1627,DB01606
1628,DB00807
1629,DB00364
1630,DB00268
1631,DB00378
1632,DB01161
1633,DB01144
1634,DB06730
1635,DB00607
1636,DB01604
1637,DB01226
1638,DB00611
1639,DB09161
1640,DB01587
1641,DB01390
1642,DB01176
1643,DB01366
1644,DB13873
1645,DB09210
1646,DB00894
1647,DB00596
1648,DB04953
1649,DB00588
1650,DB06789
1651,DB00180
1652,DB06268
1653,DB01426
1654,DB01553
1655,DB06603
1656,DB00749
1657,DB00692
1658,DB00925
1659,DB00748
1660,DB01415
1661,DB00854
1662,DB06689
1663,DB11699
1664,DB08824
1665,DB08954
1666,DB09073
1667,DB00181
1668,DB00511
1669,DB06176
1670,DB00436
1671,DB00715
1672,DB08911
1673,DB00754
1674,DB01026
1675,DB00343
1676,DB00542
